sukupuoli,ika,lk_ilmo_0,lk_ilmo_1,lk_ilmo_2,lk_ilmo_3,lk_ilmo_4,lk_ilmo_5,lk_ilmo_6,lk_ilmo_7,lk_ilmo_8,lk_ilmo_9,lk_ilmo_10,lk_ilmo_11,lk_ilmo_12,lk_ilmo_13,lk_ilmo_14,lk_ilmo_15,lk_ilmo_16,lk_ilmo_17,ka_0,op_0,fail_0,kesk_0,ka_1,op_1,fail_1,kesk_1,ka_2,op_2,fail_2,kesk_2,ka_3,op_3,fail_3,kesk_3,ka_4,op_4,fail_4,kesk_4,ka_5,op_5,fail_5,kesk_5,ka_6,op_6,fail_6,kesk_6,ka_7,op_7,fail_7,kesk_7,ka_8,op_8,fail_8,kesk_8,ka_9,op_9,fail_9,kesk_9,ka_10,op_10,fail_10,kesk_10,ka_11,op_11,fail_11,kesk_11,ka_12,op_12,fail_12,kesk_12,ka_13,op_13,fail_13,kesk_13,ka_14,op_14,fail_14,kesk_14,ka_15,op_15,fail_15,kesk_15,ka_16,op_16,fail_16,kesk_16,ka_17,op_17,fail_17,kesk_17,ka_18,op_18,fail_18,kesk_18,ka_19,op_19,fail_19,kesk_19,ka_20,op_20,fail_20,kesk_20,ka_21,op_21,fail_21,kesk_21,ka_22,op_22,fail_22,kesk_22,ka_23,op_23,fail_23,kesk_23,ka_24,op_24,fail_24,kesk_24,ka_25,op_25,fail_25,kesk_25,ka_26,op_26,fail_26,kesk_26,ka_27,op_27,fail_27,kesk_27,ka_28,op_28,fail_28,kesk_28,ka_29,op_29,fail_29,kesk_29,ka_30,op_30,fail_30,kesk_30,ka_31,op_31,fail_31,kesk_31,ka_32,op_32,fail_32,kesk_32,ka_33,op_33,fail_33,kesk_33,ka_34,op_34,fail_34,kesk_34,ka_35,op_35,fail_35,kesk_35,ka_36,op_36,fail_36,kesk_36,dropout
1,22,1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,4.0,7.0,0.0,0.0,4.333333333333333,11.0,0.0,0.0,5.0,10.0,0.0,0.0,5.0,10.0,0.0,0.0,4.666666666666667,15.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0
2,43,1,1,1,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,4.0,5.0,0.0,3.0,4.0,5.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0
1,23,1,1,1,1,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,4.0,1.0,0.0,1.0,4.333333333333333,15.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,1.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0
1,21,1,1,1,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,7.0,0.0,1.0,4.5,10.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,3.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0
1,28,1,1,2,2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3.6666666666666665,12.0,0.0,0.0,4.666666666666667,13.0,0.0,0.0,4.0,5.0,0.0,0.0,3.0,9.0,0.0,0.0,4.5,10.0,0.0,0.0,4.0,10.0,0.0,0.0,4.0,5.0,0.0,0.0,4.0,5.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0
2,35,1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3.0,3.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,4.0,5.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0
